proLC3B,ProLC3B_S1,ProLC3B_S2,ProLC3B_S3,,LC3B II,LC3BII_S1,LC3BII_S2,LC3BII_S3,,LC3BII_p62,LC3BII_p62_S1,LC3BII_p62_S2,LC3BII_p62_S3
124000,0.364236,0.375175,0.3766979,,124000,0.2697537,0.2640492,0.2799881,,124000,0.1683256,0.3092107,0.2316967
125000,0.3940296,0.3740517,0.390846,,125000,0.284841,0.2607872,0.2774843,,125000,0.1682429,0.3339778,0.2187798
126000,0.3768334,0.3617476,0.3662608,,126000,0.2787783,0.2508284,0.2821323,,126000,0.1978362,0.3312412,0.2079065
127000,0.3653031,0.3654747,0.3667303,,127000,0.2799278,0.2297038,0.2813347,,127000,0.1696959,0.3320945,0.2139001
128000,0.3848228,0.3700927,0.3523254,,128000,0.2779377,0.258193,0.29329,,128000,0.165186,0.3484444,0.2077532
129000,0.3870128,0.3719215,0.3697015,,129000,0.2741504,0.276223,0.2850997,,129000,0.1765951,0.341019,0.1942597
130000,0.4078546,0.3746731,0.3829007,,130000,0.286211,0.2703596,0.2915138,,130000,0.1557679,0.3547789,0.1996564
131000,0.415482,0.3723445,0.355675,,131000,0.2590855,0.2573837,0.2575126,,131000,0.1857417,0.3368292,0.215214
132000,0.4188054,0.3865075,0.3617343,,132000,0.2875652,0.2491898,0.2490903,,132000,0.1692654,0.3609061,0.2116161
133000,0.4074555,0.3844791,0.3978706,,133000,0.2862297,0.2754669,0.2905385,,133000,0.1621592,0.3663289,0.1957471
134000,0.440754,0.3785792,0.3728928,,134000,0.2701123,0.2748144,0.2746779,,134000,0.1888749,0.3664687,0.213406
135000,0.4451506,0.3951419,0.3936592,,135000,0.2672362,0.2781641,0.2805137,,135000,0.1854267,0.3277423,0.199782
136000,0.4063437,0.3895991,0.3674973,,136000,0.2593162,0.257427,0.274593,,136000,0.1775316,0.3446748,0.1976281
137000,0.4099152,0.3773488,0.378804,,137000,0.2662776,0.2789757,0.2737317,,137000,0.1790362,0.3471624,0.1891713
138000,0.4614029,0.3944087,0.3556243,,138000,0.2511015,0.2892659,0.2877894,,138000,0.1659183,0.338829,0.1989453
139000,0.42632,0.3865005,0.3384172,,139000,0.2757124,0.2800756,0.2762737,,139000,0.1719789,0.3541958,0.1875126
140000,0.4352056,0.383865,0.3392192,,140000,0.2884711,0.2962566,0.2854571,,140000,0.1738063,0.3461578,0.2006415
141000,0.3983222,0.3756645,0.3543258,,141000,0.2992171,0.286786,0.2664555,,141000,0.1681029,0.3534652,0.1979529
142000,0.4518972,0.3646294,0.3291562,,142000,0.3091356,0.2895828,0.264258,,142000,0.1708197,0.3697265,0.1962393
143000,0.4256154,0.3664393,0.2975768,,143000,0.3160405,0.2843758,0.2565186,,143000,0.158511,0.3344427,0.1991606
144000,0.3890901,0.3777594,0.2971941,,144000,0.3149196,0.2927827,0.2911615,,144000,0.1676694,0.3661731,0.2077857
145000,0.3954904,0.3710705,0.2951995,,145000,0.3270163,0.2898139,0.2957643,,145000,0.1621638,0.337573,0.213558
146000,0.4019816,0.3755868,0.299174,,146000,0.3094724,0.2834629,0.2951661,,146000,0.1587181,0.3493783,0.2110199
147000,0.3993393,0.3747037,0.331388,,147000,0.3297215,0.2791035,0.3062685,,147000,0.156655,0.3619904,0.185044
148000,0.3770858,0.3935192,0.2872542,,148000,0.3137982,0.2917212,0.2735983,,148000,0.1602244,0.3437389,0.1885389
149000,0.400508,0.4018648,0.3133551,,149000,0.3079958,0.3064766,0.2654644,,149000,0.1573724,0.3448302,0.1913152
150000,0.4157965,0.3888531,0.2889726,,150000,0.3448044,0.2814156,0.256175,,150000,0.1530892,0.3539417,0.1796629
