,FRAME        , VOLUME (A^3) , SURF. A. (A^2),Time
192,192,53.625,35.5,0.19100000000000014
193,193,47.0,28.25,0.19200000000000014
194,194,57.625,49.875,0.19300000000000014
195,195,45.375,37.875,0.19400000000000014
196,196,48.5,32.125,0.19500000000000015
197,197,26.0,26.875,0.19600000000000015
198,198,30.375,38.25,0.19700000000000015
199,199,42.5,41.25,0.19800000000000015
200,200,51.375,37.25,0.19900000000000015
201,201,54.75,41.875,0.20000000000000015
202,202,61.625,53.375,0.20100000000000015
203,203,72.25,46.5,0.20200000000000015
204,204,71.125,46.0,0.20300000000000015
205,205,32.125,29.25,0.20400000000000015
206,206,50.75,40.625,0.20500000000000015
207,207,71.0,42.75,0.20600000000000016
208,208,77.5,47.0,0.20700000000000016
209,209,74.875,46.0,0.20800000000000016
210,210,74.25,49.75,0.20900000000000016
211,211,64.5,46.125,0.21000000000000016
212,212,45.875,31.5,0.21100000000000016
213,213,37.125,29.625,0.21200000000000016
214,214,73.125,50.125,0.21300000000000016
215,215,59.0,45.5,0.21400000000000016
216,216,41.25,35.625,0.21500000000000016
217,217,55.875,37.375,0.21600000000000016
218,218,44.125,33.0,0.21700000000000016
219,219,59.5,36.75,0.21800000000000017
220,220,57.75,37.125,0.21900000000000017
221,221,81.25,37.75,0.22000000000000017
222,222,57.5,39.0,0.22100000000000017
223,223,75.375,50.875,0.22200000000000017
224,224,46.25,36.875,0.22300000000000017
225,225,69.375,44.375,0.22400000000000017
226,226,35.0,32.875,0.22500000000000017
227,227,62.375,37.375,0.22600000000000017
228,228,44.625,31.0,0.22700000000000017
229,229,59.125,43.0,0.22800000000000017
230,230,58.25,33.5,0.22900000000000018
231,231,66.625,44.625,0.23000000000000018
232,232,79.125,43.625,0.23100000000000018
233,233,71.75,43.875,0.23200000000000018
234,234,77.75,49.375,0.23300000000000018
235,235,84.0,41.75,0.23400000000000018
236,236,69.25,49.75,0.23500000000000018
237,237,66.625,45.875,0.23600000000000018
238,238,46.375,37.375,0.23700000000000018
239,239,50.25,41.0,0.23800000000000018
240,240,65.375,40.5,0.23900000000000018
241,241,23.125,33.25,0.24000000000000019
242,242,49.0,29.625,0.2410000000000002
243,243,58.625,37.5,0.2420000000000002
244,244,76.25,36.625,0.2430000000000002
245,245,37.625,43.375,0.2440000000000002
246,246,60.875,38.75,0.2450000000000002
247,247,70.25,41.125,0.2460000000000002
248,248,22.625,34.375,0.2470000000000002
249,249,55.75,38.625,0.2480000000000002
250,250,62.5,48.75,0.2490000000000002
251,251,25.875,24.25,0.25000000000000017
252,252,76.75,44.75,0.25100000000000017
253,253,51.875,38.0,0.25200000000000017
254,254,69.375,41.625,0.25300000000000017
255,255,67.5,41.375,0.25400000000000017
256,256,53.625,35.25,0.25500000000000017
257,257,96.625,56.5,0.25600000000000017
258,258,88.875,44.625,0.2570000000000002
259,259,61.25,34.875,0.2580000000000002
260,260,48.375,46.125,0.2590000000000002
261,261,20.125,26.75,0.2600000000000002
262,262,59.875,41.125,0.2610000000000002
263,263,36.875,32.0,0.2620000000000002
264,264,59.125,36.75,0.2630000000000002
265,265,70.25,37.25,0.2640000000000002
266,266,74.375,36.25,0.2650000000000002
267,267,95.0,55.875,0.2660000000000002
268,268,70.25,43.5,0.2670000000000002
269,269,79.0,52.5,0.2680000000000002
270,270,93.875,56.625,0.2690000000000002
271,271,87.5,41.25,0.2700000000000002
272,272,71.0,41.25,0.2710000000000002
273,273,122.875,69.625,0.2720000000000002
274,274,82.75,52.5,0.2730000000000002
275,275,125.125,67.875,0.2740000000000002
276,276,84.625,53.75,0.2750000000000002
277,277,94.75,59.375,0.2760000000000002
278,278,86.0,46.875,0.2770000000000002
279,279,82.0,47.375,0.2780000000000002
280,280,83.25,49.375,0.2790000000000002
281,281,65.0,35.25,0.2800000000000002
282,282,63.125,40.75,0.2810000000000002
283,283,91.375,46.125,0.2820000000000002
284,284,109.375,54.625,0.2830000000000002
285,285,107.5,55.5,0.2840000000000002
286,286,73.625,47.375,0.2850000000000002
287,287,108.375,51.25,0.2860000000000002
288,288,83.25,47.875,0.2870000000000002
289,289,107.0,57.75,0.2880000000000002
290,290,106.625,49.375,0.2890000000000002
291,291,105.625,54.875,0.2900000000000002
292,292,105.625,58.25,0.2910000000000002
293,293,93.5,48.875,0.2920000000000002
294,294,59.5,41.5,0.2930000000000002
295,295,43.625,35.25,0.2940000000000002
296,296,79.25,43.5,0.2950000000000002
297,297,53.875,42.875,0.2960000000000002
298,298,66.375,42.875,0.2970000000000002
299,299,77.5,42.5,0.2980000000000002
300,300,71.125,46.5,0.2990000000000002
301,301,75.625,42.5,0.3000000000000002
302,302,68.75,50.875,0.3010000000000002
303,303,34.0,46.0,0.3020000000000002
304,304,45.625,34.25,0.3030000000000002
305,305,20.625,25.875,0.3040000000000002
306,306,51.875,37.75,0.3050000000000002
307,307,38.125,33.125,0.3060000000000002
308,308,73.125,49.875,0.3070000000000002
309,309,43.625,36.0,0.3080000000000002
310,310,67.5,42.5,0.3090000000000002
311,311,87.625,41.125,0.3100000000000002
312,312,48.75,36.25,0.3110000000000002
313,313,86.375,48.125,0.3120000000000002
314,314,58.0,46.875,0.3130000000000002
315,315,81.125,41.375,0.3140000000000002
