,FRAME        , VOLUME (A^3) , SURF. A. (A^2),Time
717,717,62.25,41.875,0.0358
719,719,66.0,36.75,0.0359
721,721,77.625,42.875,0.036000000000000004
723,723,69.875,41.375,0.03610000000000001
725,725,74.125,37.875,0.03620000000000001
727,727,77.625,44.5,0.03630000000000001
729,729,73.75,42.25,0.036400000000000016
731,731,58.5,39.875,0.03650000000000002
733,733,64.5,41.625,0.03660000000000002
735,735,62.75,38.75,0.036700000000000024
737,737,70.375,42.625,0.03680000000000003
739,739,61.5,37.625,0.03690000000000003
741,741,95.75,53.0,0.03700000000000003
743,743,85.75,51.25,0.037100000000000036
745,745,80.375,46.375,0.03720000000000004
747,747,109.0,61.25,0.03730000000000004
749,749,74.25,41.25,0.037400000000000044
751,751,66.125,43.375,0.03750000000000005
753,753,62.5,39.875,0.03760000000000005
755,755,69.125,40.0,0.03770000000000005
757,757,88.875,48.0,0.037800000000000056
759,759,94.0,44.625,0.03790000000000006
761,761,89.5,45.25,0.03800000000000006
763,763,75.125,46.0,0.038100000000000064
765,765,64.5,43.0,0.03820000000000007
767,767,77.375,45.125,0.03830000000000007
769,769,71.25,46.5,0.03840000000000007
771,771,83.5,48.625,0.038500000000000076
773,773,66.25,49.375,0.03860000000000008
775,775,62.125,44.875,0.03870000000000008
777,777,69.75,46.375,0.038800000000000084
779,779,85.375,50.75,0.03890000000000009
781,781,72.875,48.5,0.03900000000000009
783,783,96.875,53.0,0.03910000000000009
785,785,74.25,50.25,0.039200000000000096
787,787,59.5,39.875,0.0393000000000001
789,789,75.25,44.125,0.0394000000000001
791,791,71.75,39.5,0.039500000000000104
793,793,84.125,40.0,0.03960000000000011
795,795,55.375,36.375,0.03970000000000011
797,797,74.875,44.375,0.03980000000000011
799,799,68.25,39.375,0.039900000000000116
801,801,74.125,42.5,0.04000000000000012
803,803,89.875,47.875,0.04010000000000012
805,805,74.375,42.25,0.040200000000000125
807,807,78.125,40.75,0.04030000000000013
809,809,90.125,51.5,0.04040000000000013
811,811,76.0,38.0,0.04050000000000013
813,813,87.125,44.625,0.040600000000000136
815,815,76.75,44.75,0.04070000000000014
817,817,71.25,43.125,0.04080000000000014
819,819,77.125,45.5,0.040900000000000145
821,821,71.125,40.0,0.04100000000000015
823,823,71.75,38.625,0.04110000000000015
825,825,73.375,41.125,0.04120000000000015
827,827,69.5,42.125,0.041300000000000156
829,829,82.875,49.5,0.04140000000000016
831,831,71.75,40.625,0.04150000000000016
833,833,82.875,47.625,0.041600000000000165
835,835,69.0,41.875,0.04170000000000017
837,837,64.5,39.125,0.04180000000000017
839,839,63.875,38.0,0.04190000000000017
841,841,72.25,39.125,0.042000000000000176
843,843,83.5,45.125,0.04210000000000018
845,845,93.75,52.75,0.04220000000000018
847,847,97.0,51.875,0.042300000000000185
849,849,75.625,45.5,0.04240000000000019
851,851,90.0,42.125,0.04250000000000019
853,853,81.5,46.25,0.04260000000000019
855,855,79.375,45.375,0.042700000000000196
857,857,90.25,45.5,0.0428000000000002
859,859,65.375,37.5,0.0429000000000002
861,861,67.375,37.5,0.043000000000000205
863,863,109.375,52.125,0.04310000000000021
865,865,81.625,42.625,0.04320000000000021
867,867,73.0,39.875,0.04330000000000021
869,869,85.625,41.375,0.043400000000000216
871,871,86.5,40.625,0.04350000000000022
873,873,68.375,38.625,0.04360000000000022
875,875,75.5,46.0,0.043700000000000225
877,877,71.5,41.0,0.04380000000000023
879,879,72.625,39.0,0.04390000000000023
881,881,71.5,40.0,0.04400000000000023
883,883,69.5,40.25,0.044100000000000236
885,885,60.5,40.875,0.04420000000000024
887,887,73.5,37.75,0.04430000000000024
889,889,90.5,43.0,0.044400000000000245
891,891,78.5,43.375,0.04450000000000025
893,893,67.0,47.375,0.04460000000000025
895,895,72.0,40.125,0.04470000000000025
897,897,84.375,40.5,0.044800000000000256
899,899,68.125,41.625,0.04490000000000026
901,901,85.5,46.125,0.04500000000000026
903,903,62.25,42.375,0.045100000000000265
905,905,89.125,41.75,0.04520000000000027
907,907,62.625,36.75,0.04530000000000027
909,909,58.75,43.375,0.045400000000000273
911,911,103.875,42.75,0.045500000000000276
913,913,76.625,43.5,0.04560000000000028
915,915,74.5,39.875,0.04570000000000028
917,917,74.75,42.75,0.045800000000000285
919,919,75.625,41.5,0.04590000000000029
